Arbitrage Opportunity: Chain = [('ETHTRY', 'sell'), ('ARBTRY', 'buy'), ('ARBETH', 'sell')], Profit Ratio = 1.0037
Arbitrage Opportunity: Chain = [('ETHTRY', 'sell'), ('DOTTRY', 'buy'), ('DOTETH', 'sell')], Profit Ratio = 1.0044
Arbitrage Opportunity: Chain = [('ETHTRY', 'sell'), ('XVGTRY', 'buy'), ('XVGETH', 'sell')], Profit Ratio = 1.0061
Arbitrage Opportunity: Chain = [('ETHTRY', 'sell'), ('ETCTRY', 'buy'), ('ETCETH', 'sell')], Profit Ratio = 1.0039
Arbitrage Opportunity: Chain = [('ETHTRY', 'sell'), ('QTUMTRY', 'buy'), ('QTUMETH', 'sell')], Profit Ratio = 1.0057
Arbitrage Opportunity: Chain = [('ETHTRY', 'sell'), ('EGLDTRY', 'buy'), ('EGLDETH', 'sell')], Profit Ratio = 1.0037
Arbitrage Opportunity: Chain = [('ETHTRY', 'sell'), ('IOTATRY', 'buy'), ('IOTAETH', 'sell')], Profit Ratio = 1.0082
Arbitrage Opportunity: Chain = [('ETHTRY', 'sell'), ('VETTRY', 'buy'), ('VETETH', 'sell')], Profit Ratio = 1.0040
Arbitrage Opportunity: Chain = [('GRTETH', 'buy'), ('GRTUSDT', 'sell'), ('ETHUSDT', 'buy')], Profit Ratio = 1.0029
Arbitrage Opportunity: Chain = [('GRTETH', 'buy'), ('GRTTRY', 'sell'), ('ETHTRY', 'buy')], Profit Ratio = 1.0033
Arbitrage Opportunity: Chain = [('TRXETH', 'buy'), ('TRXBNB', 'sell'), ('BNBETH', 'sell')], Profit Ratio = 1.0022
Arbitrage Opportunity: Chain = [('ZECETH', 'buy'), ('ZECBTC', 'sell'), ('ETHBTC', 'buy')], Profit Ratio = 1.0027
Arbitrage Opportunity: Chain = [('ZECETH', 'buy'), ('ZECUSDT', 'sell'), ('ETHUSDT', 'buy')], Profit Ratio = 1.0039
Arbitrage Opportunity: Chain = [('ETHJPY', 'sell'), ('APTJPY', 'buy'), ('APTETH', 'sell')], Profit Ratio = 1.0064
Arbitrage Opportunity: Chain = [('ETHJPY', 'sell'), ('NEARJPY', 'buy'), ('NEARETH', 'sell')], Profit Ratio = 1.0184
Arbitrage Opportunity: Chain = [('ETHJPY', 'sell'), ('LINKJPY', 'buy'), ('LINKETH', 'sell')], Profit Ratio = 1.0049
Arbitrage Opportunity: Chain = [('ETHJPY', 'sell'), ('POLJPY', 'buy'), ('POLETH', 'sell')], Profit Ratio = 1.0098
Arbitrage Opportunity: Chain = [('ETHJPY', 'sell'), ('IOTXJPY', 'buy'), ('IOTXETH', 'sell')], Profit Ratio = 1.0102
Arbitrage Opportunity: Chain = [('HOTETH', 'buy'), ('HOTUSDT', 'sell'), ('ETHUSDT', 'buy')], Profit Ratio = 1.0109
Arbitrage Opportunity: Chain = [('HOTETH', 'buy'), ('HOTTRY', 'sell'), ('ETHTRY', 'buy')], Profit Ratio = 1.0118
Arbitrage Opportunity: Chain = [('ETHBRL', 'sell'), ('ADABRL', 'buy'), ('ADAETH', 'sell')], Profit Ratio = 1.0054
Arbitrage Opportunity: Chain = [('ETHBRL', 'sell'), ('LINKBRL', 'buy'), ('LINKETH', 'sell')], Profit Ratio = 1.0075
Arbitrage Opportunity: Chain = [('ETHBRL', 'sell'), ('POLBRL', 'buy'), ('POLETH', 'sell')], Profit Ratio = 1.0063
Arbitrage Opportunity: Chain = [('ETHBRL', 'sell'), ('DOTBRL', 'buy'), ('DOTETH', 'sell')], Profit Ratio = 1.0025
Arbitrage Opportunity: Chain = [('ETHBRL', 'sell'), ('AVAXBRL', 'buy'), ('AVAXETH', 'sell')], Profit Ratio = 1.0033
Arbitrage Opportunity: Chain = [('ETHFDUSD', 'sell'), ('GRTFDUSD', 'buy'), ('GRTETH', 'sell')], Profit Ratio = 1.0057
Arbitrage Opportunity: Chain = [('ETHFDUSD', 'sell'), ('CYBERFDUSD', 'buy'), ('CYBERETH', 'sell')], Profit Ratio = 1.0026
Arbitrage Opportunity: Chain = [('ETHFDUSD', 'sell'), ('XLMFDUSD', 'buy'), ('XLMETH', 'sell')], Profit Ratio = 1.0045
Arbitrage Opportunity: Chain = [('ETHFDUSD', 'sell'), ('EGLDFDUSD', 'buy'), ('EGLDETH', 'sell')], Profit Ratio = 1.0038
