Arbitrage Opportunity: Chain = [('ETHBTC', 'sell'), ('VETBTC', 'buy'), ('VETETH', 'sell')], Profit Ratio = 1.0271
Arbitrage Opportunity: Chain = [('ETHJPY', 'sell'), ('NEARJPY', 'buy'), ('NEARETH', 'sell')], Profit Ratio = 1.0204
Arbitrage Opportunity: Chain = [('GALAETH', 'buy'), ('GALABNB', 'sell'), ('BNBETH', 'sell')], Profit Ratio = 1.1225
Arbitrage Opportunity: Chain = [('BTCFDUSD', 'sell'), ('ETHFIFDUSD', 'buy'), ('ETHFIBTC', 'sell')], Profit Ratio = 1.2180
Arbitrage Opportunity: Chain = [('BTCFDUSD', 'sell'), ('IDEXFDUSD', 'buy'), ('IDEXBTC', 'sell')], Profit Ratio = 1.2537
Arbitrage Opportunity: Chain = [('BTCFDUSD', 'sell'), ('PEOPLEFDUSD', 'buy'), ('PEOPLEBTC', 'sell')], Profit Ratio = 1.0443
Arbitrage Opportunity: Chain = [('CELRBTC', 'buy'), ('CELRUSDT', 'sell'), ('BTCUSDT', 'buy')], Profit Ratio = 1.0414
Arbitrage Opportunity: Chain = [('BTCUSDC', 'sell'), ('ETHFIUSDC', 'buy'), ('ETHFIBTC', 'sell')], Profit Ratio = 1.2181
Arbitrage Opportunity: Chain = [('BTCUSDC', 'sell'), ('IDEXUSDC', 'buy'), ('IDEXBTC', 'sell')], Profit Ratio = 1.2531
Arbitrage Opportunity: Chain = [('BTCUSDC', 'sell'), ('PEOPLEUSDC', 'buy'), ('PEOPLEBTC', 'sell')], Profit Ratio = 1.0425
Arbitrage Opportunity: Chain = [('ONEBTC', 'buy'), ('ONETRY', 'sell'), ('BTCTRY', 'buy')], Profit Ratio = 1.0476
Arbitrage Opportunity: Chain = [('ONEBTC', 'buy'), ('ONEUSDT', 'sell'), ('BTCUSDT', 'buy')], Profit Ratio = 1.0509
Arbitrage Opportunity: Chain = [('TRUBTC', 'buy'), ('TRUUSDT', 'sell'), ('BTCUSDT', 'buy')], Profit Ratio = 1.0216
Arbitrage Opportunity: Chain = [('BTCJPY', 'sell'), ('IOTXJPY', 'buy'), ('IOTXBTC', 'sell')], Profit Ratio = 1.0259
Arbitrage Opportunity: Chain = [('BTCUSDT', 'sell'), ('ALICEUSDT', 'buy'), ('ALICEBTC', 'sell')], Profit Ratio = 1.2567
Arbitrage Opportunity: Chain = [('BTCUSDT', 'sell'), ('FIOUSDT', 'buy'), ('FIOBTC', 'sell')], Profit Ratio = 1.0485
Arbitrage Opportunity: Chain = [('BTCUSDT', 'sell'), ('VIDTUSDT', 'buy'), ('VIDTBTC', 'sell')], Profit Ratio = 1.0230
Arbitrage Opportunity: Chain = [('BTCUSDT', 'sell'), ('PERPUSDT', 'buy'), ('PERPBTC', 'sell')], Profit Ratio = 1.1266
Arbitrage Opportunity: Chain = [('BTCUSDT', 'sell'), ('IDEXUSDT', 'buy'), ('IDEXBTC', 'sell')], Profit Ratio = 1.2547
Arbitrage Opportunity: Chain = [('BTCUSDT', 'sell'), ('ARPAUSDT', 'buy'), ('ARPABTC', 'sell')], Profit Ratio = 1.0279
Arbitrage Opportunity: Chain = [('BTCUSDT', 'sell'), ('PEOPLEUSDT', 'buy'), ('PEOPLEBTC', 'sell')], Profit Ratio = 1.0440
Arbitrage Opportunity: Chain = [('BTCUSDT', 'sell'), ('LQTYUSDT', 'buy'), ('LQTYBTC', 'sell')], Profit Ratio = 1.1236
Arbitrage Opportunity: Chain = [('BTCUSDT', 'sell'), ('ETHFIUSDT', 'buy'), ('ETHFIBTC', 'sell')], Profit Ratio = 1.2181
Arbitrage Opportunity: Chain = [('BTCUSDT', 'sell'), ('MBOXUSDT', 'buy'), ('MBOXBTC', 'sell')], Profit Ratio = 1.2537
Arbitrage Opportunity: Chain = [('RVNBTC', 'buy'), ('RVNTRY', 'sell'), ('BTCTRY', 'buy')], Profit Ratio = 1.0797
Arbitrage Opportunity: Chain = [('RVNBTC', 'buy'), ('RVNUSDT', 'sell'), ('BTCUSDT', 'buy')], Profit Ratio = 1.0819
Arbitrage Opportunity: Chain = [('BTCTRY', 'sell'), ('ALICETRY', 'buy'), ('ALICEBTC', 'sell')], Profit Ratio = 1.2622
Arbitrage Opportunity: Chain = [('BTCTRY', 'sell'), ('ETHFITRY', 'buy'), ('ETHFIBTC', 'sell')], Profit Ratio = 1.2206
Arbitrage Opportunity: Chain = [('BTCTRY', 'sell'), ('MBOXTRY', 'buy'), ('MBOXBTC', 'sell')], Profit Ratio = 1.2530
Arbitrage Opportunity: Chain = [('BTCTRY', 'sell'), ('ARPATRY', 'buy'), ('ARPABTC', 'sell')], Profit Ratio = 1.0274
Arbitrage Opportunity: Chain = [('BTCTRY', 'sell'), ('PEOPLETRY', 'buy'), ('PEOPLEBTC', 'sell')], Profit Ratio = 1.0457
Arbitrage Opportunity: Chain = [('GALABTC', 'buy'), ('GALABNB', 'sell'), ('BNBBTC', 'sell')], Profit Ratio = 1.1247
Arbitrage Opportunity: Chain = [('THEBTC', 'buy'), ('THEBNB', 'sell'), ('BNBBTC', 'sell')], Profit Ratio = 1.3762
Arbitrage Opportunity: Chain = [('VETBTC', 'buy'), ('VETTRY', 'sell'), ('BTCTRY', 'buy')], Profit Ratio = 1.0262
Arbitrage Opportunity: Chain = [('VETBTC', 'buy'), ('VETUSDT', 'sell'), ('BTCUSDT', 'buy')], Profit Ratio = 1.0259
Arbitrage Opportunity: Chain = [('VETBTC', 'buy'), ('VETBNB', 'sell'), ('BNBBTC', 'sell')], Profit Ratio = 1.0252
Arbitrage Opportunity: Chain = [('VETBTC', 'buy'), ('VETEUR', 'sell'), ('BTCEUR', 'buy')], Profit Ratio = 1.0250
Arbitrage Opportunity: Chain = [('VETBTC', 'buy'), ('VETETH', 'sell'), ('ETHBTC', 'sell')], Profit Ratio = 1.0271
Arbitrage Opportunity: Chain = [('SYSBTC', 'buy'), ('SYSUSDT', 'sell'), ('BTCUSDT', 'buy')], Profit Ratio = 1.0254
Arbitrage Opportunity: Chain = [('TRXBNB', 'buy'), ('WINTRX', 'buy'), ('WINBNB', 'sell')], Profit Ratio = 1.2145
Arbitrage Opportunity: Chain = [('BNBFDUSD', 'sell'), ('THEFDUSD', 'buy'), ('THEBNB', 'sell')], Profit Ratio = 1.3821
